Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Water        (L),w/ b ,Fly ash (kg/m3),GGBS (kg/m3),Silica Fune (SF) (kg/m3),RCA (kg/m3),Days,Compressive Strength (MPA)
220,815,660,220,0.35,155,0,30,0,28,59.4
220,815,495,220,0.35,155,0,30,152,28,63.7
220,815,330,220,0.35,155,0,30,305,28,65.3
220,815,165,220,0.35,155,0,30,458,28,60
220,815,0,220,0.35,155,0,30,610,28,53.8
520,785,867,182,0.35,0,0,0,0,28,53.45
520,785,433,182,0.35,0,0,0,416.4,28,46.54
260,785,433,182,0.35,260,0,0,416.4,28,18.04
260,785,433,182,0.35,130,130,0,416.4,28,33.51
260,785,433,182,0.35,104,104,52,416.4,28,40.31
130,785,433,182,0.35,390,0,0,416.4,28,7.17
130,785,433,182,0.35,195,195,0,416.4,28,19.66
130,785,433,182,0.35,156,156,78,416.4,28,35.54
520,785,0,182,0.35,0,0,0,832,28,43.89
260,785,0,182,0.35,260,0,0,832,28,21
260,785,0,182,0.35,130,130,0,832,28,38.38
260,785,0,182,0.35,104,104,52,832,28,49.44
130,785,0,182,0.35,390,0,0,832,28,13.64
130,785,0,182,0.35,195,195,0,832,28,30.84
130,785,0,182,0.35,156,156,78,832,28,42.75
455,785,0,182,0.4,0,0,0,832,28,29.81
113.7,785,0,182,0.4,341.25,0,0,832,28,13.89
113.7,785,0,182,0.4,170.63,170.6,0,832,28,18.35
113.7,785,0,182,0.4,136.5,136.5,68.3,832,28,26.23
404,785,0,182,0.45,0,0,0,832,28,19.75
101,785,0,182,0.45,303,0,0,832,28,9.63
101,785,0,182,0.45,151.5,151.5,0,832,28,12.07
101,785,0,182,0.45,121.2,121.2,60.6,832,28,18.86
360,980,804,195,0.54,0,0,125,0,3,24.89
360,980,644,195,0.54,0,0,125,133,3,24.36
360,980,483,195,0.54,0,0,125,266,3,24.15
360,980,322,195,0.54,0,0,125,399,3,22.67
360,980,161,195,0.54,0,0,125,532,3,22.15
360,980,0,195,0.54,0,0,125,666,3,19.45
360,980,804,195,0.54,0,0,125,0,7,36.78
360,980,644,195,0.54,0,0,125,133,7,34.67
360,980,483,195,0.54,0,0,125,266,7,35.34
360,980,322,195,0.54,0,0,125,399,7,31.83
360,980,161,195,0.54,0,0,125,532,7,32.12
360,980,0,195,0.54,0,0,125,666,7,29.37
360,980,804,195,0.54,0,0,125,0,28,47.56
360,980,644,195,0.54,0,0,125,133,28,45.78
360,980,483,195,0.54,0,0,125,266,28,44.34
360,980,322,195,0.54,0,0,125,399,28,43.21
360,980,161,195,0.54,0,0,125,532,28,42.56
360,980,0,195,0.54,0,0,125,666,28,40.23
375,880,865,150,0.38,0,0,0,0,3,32.09
187.5,880,865,150,0.38,0,0,0,0,3,24.65
187.5,880,865,150,0.38,0,187.5,0,0,3,30.46
187.5,880,865,150,0.38,0,93.75,0,0,3,26.744
375,880,649,150,0.38,0,0,0,216,3,24.14
187.5,880,649,150,0.38,0,0,0,216,3,14.19
187.5,880,649,150,0.38,0,187.5,0,216,3,22.9
187.5,880,649,150,0.38,0,93.75,0,216,3,19.17
375,880,432.5,150,0.38,0,0,0,432.5,3,22.4
187.5,880,432.5,150,0.38,0,0,0,432.5,3,11.07
187.5,880,432.5,150,0.38,0,187.5,0,432.5,3,19.57
187.5,880,432.5,150,0.38,0,93.75,0,432.5,3,16.22
375,880,216.25,150,0.38,0,0,0,648.75,3,20.8
187.5,880,216.25,150,0.38,0,0,0,648.75,3,13.57
187.5,880,216.25,150,0.38,0,187.5,0,648.75,3,19.05
187.5,880,216.25,150,0.38,0,93.75,0,648.75,3,15.32
375,880,0,150,0.38,0,0,0,865,3,12.82
